age,region
-0.08967793912007242,DorsAttnA_ParOcc_3
-0.041249960151847,DorsAttnA_SPL_1
-0.07054099988272797,DorsAttnA_SPL_2
NA,DorsAttnA_SPL_3
-0.08875804514443453,DorsAttnA_SPL_4
-0.13989203220109658,DorsAttnA_SPL_5
-0.06039837253723404,DorsAttnA_SPL_6
-0.04558287566312021,DorsAttnA_SPL_7
-0.06915369055988314,DorsAttnA_SPL_8
-0.11907677277504834,DorsAttnB_TempOcc_1
-0.09374028729798632,DorsAttnB_PostC_1
-0.03658442906682175,DorsAttnB_PostC_2
-0.04987187205526247,DorsAttnB_PostC_3
NA,DorsAttnB_PostC_4
NA,DorsAttnB_PostC_5
-0.15457920175104387,DorsAttnB_PostC_6
-0.08445887801387142,DorsAttnB_PostC_7
-0.054101647813848575,DorsAttnB_PostC_8
-0.10037745701832185,DorsAttnB_FEF_1
-0.10025815600413471,DorsAttnB_FEF_2
NA,DorsAttnB_FEF_3
-0.13097082408073815,SalVentAttnA_ParOper_1
-0.13794078916987257,SalVentAttnA_ParOper_2
-0.07869927400093499,SalVentAttnA_ParOper_3
-0.04335437813129631,SalVentAttnA_PrC_1
-0.030124569268201885,SalVentAttnA_Ins_1
NA,SalVentAttnA_Ins_2
-0.0428115636862759,SalVentAttnA_Ins_3
NA,SalVentAttnA_Ins_4
-0.06234090598992923,SalVentAttnA_FrOper_1
-0.05999963940228472,SalVentAttnA_FrOper_2
-0.08818821240368849,SalVentAttnA_FrOper_3
-0.13344875105630769,SalVentAttnA_FrMed_1
-0.06794082481214118,SalVentAttnA_ParMed_1
-0.1015175413716234,SalVentAttnA_ParMed_2
-0.14036705934837046,SalVentAttnA_FrMed_2
-0.11076602527285193,SalVentAttnA_ParMed_3
-0.03067729244324626,SalVentAttnA_ParMed_4
-0.04757264984810574,SalVentAttnA_FrMed_3
NA,SalVentAttnA_FrMed_4
-0.07135782901261185,SalVentAttnB_IPL_1
-0.07973128540118686,SalVentAttnB_PFClv_1
-0.08379194166175201,SalVentAttnB_PFCl_1
-0.0860194171165813,SalVentAttnB_PFCl_2
-0.05310328564892029,SalVentAttnB_PFCl_3
-0.06573098746699525,SalVentAttnB_Ins_1
-0.10104276343145525,SalVentAttnB_Ins_2
-0.04863208140067928,SalVentAttnB_PFCmp_1
-0.11164707727406785,SalVentAttnB_PFCmp_2
-0.038251655835357806,LimbicB_OFC_1
NA,LimbicB_OFC_2
-0.03094855563241547,LimbicB_OFC_3
NA,LimbicB_OFC_4
NA,LimbicB_OFC_5
NA,LimbicB_OFC_6
-0.08884848535744908,LimbicA_TempPole_1
NA,LimbicA_TempPole_2
-0.06756516891999874,LimbicA_TempPole_3
-0.05460640437727509,LimbicA_TempPole_4
-0.05770249809745873,LimbicA_TempPole_5
NA,LimbicA_TempPole_6
-0.07455351812733826,ContA_IPS_1
-0.1670924245853808,ContA_IPS_2
-0.10320561567621069,ContA_IPS_3
-0.06620017802209859,ContA_IPS_4
NA,ContA_PFCd_1
-0.04779977334606056,ContA_PFCl_1
-0.05895707018826777,ContA_PFCl_2
NA,ContA_PFCl_3
-0.06697703510188677,ContA_PFCl_4
-0.036994867528476715,ContA_PFCl_5
-0.05317850586191435,ContA_Cingm_1
-0.17476066478335942,ContB_Temp_1
-0.09074100196804323,ContB_Temp_2
NA,ContB_IPL_1
-0.07228528776636668,ContB_IPL_2
-0.07439082482783052,ContB_IPL_3
-0.11213157381403369,ContB_IPL_4
-0.059682719452663985,ContB_PFCld_1
-0.12605677099937926,ContB_PFCld_2
-0.09773466180971019,ContB_PFCld_3
-0.09401840146310039,ContB_PFCld_4
-0.0992300336809292,ContB_PFClv_1
-0.0784389325473446,ContB_PFClv_2
-0.04820523962214754,ContB_PFClv_3
-0.0791627270182093,ContB_PFClv_4
-0.058380460656211094,ContB_PFCmp_1
-0.05495361265049785,ContC_pCun_1
-0.06691853513333312,ContC_pCun_2
-0.047761647426996255,ContC_pCun_3
-0.10135859110111446,ContC_pCun_4
-0.09475508420596668,ContC_pCun_5
NA,ContC_Cingp_1
NA,ContC_Cingp_2
-0.12320860052572111,DefaultA_Temp_1
-0.08826729904954547,DefaultA_IPL_1
